Date,Cache Prefix,Source Domain Val Accuracy,Source Domain Test Accuracy,Target Domain Val Accuracy,Target Domain Test Accuracy
2024-12-23,Comparison_DANNPrototype_InceptionEEG_MengExp3ToBCICIV2A_1,0.82522(0.00699),0.81609(0.01033),0.62466(0.06186),0.60497(0.08270)
2024-12-23,Comparison_DANNPrototype_EEGNet_MengExp3ToMengExp12_1,0.82443(0.01381),0.81728(0.00948),0.77656(0.02087),0.76832(0.00988)
2024-12-23,Comparison_DANNPrototype_ShallowConvNet_MengExp3ToMengExp12_1,0.80516(0.02021),0.79364(0.01869),0.72887(0.02392),0.71917(0.01009)
2024-12-23,Comparison_DANNPrototype_DeepConvNet_MengExp3ToMengExp12_1,0.80357(0.01406),0.79901(0.00726),0.76163(0.01238),0.74593(0.01526)
2024-12-23,Comparison_DANNPrototype_InceptionEEG_MengExp3ToMengExp12_1,0.82622(0.00877),0.81390(0.01060),0.77995(0.01802),0.76948(0.01677)
2024-12-23,Comparison_DANNPrototype_EEGNet_MengExp3ToPhysioNetMI_1,0.82483(0.01046),0.82026(0.00355),0.75983(0.01766),0.75773(0.01698)
2024-12-23,Comparison_DANNPrototype_ShallowConvNet_MengExp3ToPhysioNetMI_1,0.78749(0.00923),0.77617(0.01294),0.74300(0.01810),0.73076(0.00669)
2024-12-23,Comparison_DANNPrototype_DeepConvNet_MengExp3ToPhysioNetMI_1,0.79861(0.01401),0.78987(0.00415),0.76785(0.01394),0.75947(0.02385)
2024-12-23,Comparison_DANNPrototype_InceptionEEG_MengExp3ToPhysioNetMI_1,0.82066(0.00642),0.81192(0.01434),0.76153(0.01049),0.75225(0.00858)
2024-12-23,Comparison_DANNPrototype_EEGNet_MengExp12ToBCICIV2A_1,0.86613(0.01175),0.85750(0.00421),0.65478(0.06157),0.63856(0.06519)
2024-12-23,Comparison_DANNPrototype_ShallowConvNet_MengExp12ToBCICIV2A_1,0.79129(0.01659),0.77646(0.01531),0.59099(0.04115),0.54499(0.03050)
